review,sentiment
please buy expensive product like iphone amazon bad exp charger cord missing sound quality issue amazon initial told charger come box challenged asked reimburse cord amount requested replacement day called informed dont take responsibility missing item day replacement policy dont follow read email conversation attached mentioned every thing call recording well last denied phone replacement even provide missing cord damage quality issue said amazon responsible,very negative
awesome phone nice upgrade iphone 6 iphone love beautiful phone,neutral
iphone design good camera quality awesome also take picture wide angle image quality awesome phone got delivered 9am 28th september got phone delivery date nice secured packaging overall look phone premium face unlocking fast grabbed phone hdfc 6k instant discount offer 64k con phone great use box accessory like earpods lighting connector might feel little pain ear phone come 5w charger charge phone slowly recommend prefer using 18w charger well never tried iphone using first time product great lovin,neutral
phone producing much heat even put sim never used half hour producing much heat totally disappointed amazon saying go icare service amazon anything worst experience amazon one would like repair new phone better go shop buy apple product,very negative
bought mobile appario retail ltd mobile heating within second also camera mode working properly particularly portrait mode stage light mono option working properly raised apple customer care confirmed software issue amazon customer care told need job card report apple service center nearest service center located 210km place imagine amount strain much going cost buy anything seller google u find numerous complaint seller ever sell u find defective product thread seller dubious deal quora please safe regret,very negative
defective product got heat within minute starting need return fastvery bad experience,very negative
product got defective face id working back camera also working lot hassle get exchanged apple service centre also much help product amazon please buy phone apple store get right product,neutral
opinion think much phone get attaching night mode picture check differencepros best camera2 best security3 long day battery life4 touch id improved5 iphone best night mode support7 best processor a13 bionic chipcons display could oled price matter retina lcd really awesome slightly bulky weighty u r shifting iphone thick bezelsguys samsung well iphone fan price range would suggest order iphone really great deal u r long time iphone user really great got guy,negative
switched started producing much heating even cant hold hand later tried youtube game normal browsing excessive heating issue seems defective piece need refund asap paid 70k defective phone feeling like got scammed,very negative
provided defective product struggling replacement since many hidden term condition last order amazon,very negative
please buy expensive product like iphone amazon bad exp charger cord missing sound quality issue amazon initial told charger come box challenged asked reimburse cord amount requested replacement day called informed dont take responsibility missing item day replacement policy dont follow read email conversation attached mentioned every thing call recording well last denied phone replacement even provide missing cord damage quality issue said amazon responsible,very negative
awesome phone nice upgrade iphone 6 iphone love beautiful phone,neutral
iphone design good camera quality awesome also take picture wide angle image quality awesome phone got delivered 9am 28th september got phone delivery date nice secured packaging overall look phone premium face unlocking fast grabbed phone hdfc 6k instant discount offer 64k con phone great use box accessory like earpods lighting connector might feel little pain ear phone come 5w charger charge phone slowly recommend prefer using 18w charger well never tried iphone using first time product great lovin,neutral
phone producing much heat even put sim never used half hour producing much heat totally disappointed amazon saying go icare service amazon anything worst experience amazon one would like repair new phone better go shop buy apple product,very negative
bought mobile appario retail ltd mobile heating within second also camera mode working properly particularly portrait mode stage light mono option working properly raised apple customer care confirmed software issue amazon customer care told need job card report apple service center nearest service center located 210km place imagine amount strain much going cost buy anything seller google u find numerous complaint seller ever sell u find defective product thread seller dubious deal quora please safe regret,very negative
defective product got heat within minute starting need return fastvery bad experience,very negative
product got defective face id working back camera also working lot hassle get exchanged apple service centre also much help product amazon please buy phone apple store get right product,neutral
opinion think much phone get attaching night mode picture check differencepros best camera2 best security3 long day battery life4 touch id improved5 iphone best night mode support7 best processor a13 bionic chipcons display could oled price matter retina lcd really awesome slightly bulky weighty u r shifting iphone thick bezelsguys samsung well iphone fan price range would suggest order iphone really great deal u r long time iphone user really great got guy,negative
switched started producing much heating even cant hold hand later tried youtube game normal browsing excessive heating issue seems defective piece need refund asap paid 70k defective phone feeling like got scammed,very negative
provided defective product struggling replacement since many hidden term condition last order amazon,very negative
second apple device sold kidney got 58k avid android fanboy using daily driver past year switch using move io entire transition using drive photo etc seamless may miss thing two stock android would offer couple colleague argued good latest phone two thing never good photography intermittent lag yes phone gig ram lag device prosthe device build quality amazing detail given every tiny little thing noted even sim tray made metal speaker sound better previous phone couple might argue lcd lower resolution device certainly cannot differentiate though color blind maybe o mobile o speedy updated time basis support device long year yeah root phone rock new lineage o droid circumstance rooting magisk cannot help banking apps work camera camera phone good night mode amazing low light picture turn good note huawei phone longer google service yes sideload play store still pain arse next pixel going cheap either consremember iphone always treated asset phone ask someone dropped phone hard surface pain take repaired replaced couple pointed device bit thick yes honestly slim phone cannot juice within sacrifice either 5mm mean charge listen music e move wireless headphone overall amazing phone worth every penny phone using next year sure like one legend electronic good always depreciating unlike gold land fit need checking message making call need,very negative
look want go ahead buy performance suggest guy back observed back panel heating issue especially taking photo using map spending 60k seeing kind heating issue completely unacceptable brand like apple approached apple care said send device bangalore diagnosis called writing review quoting working today due sunday closed blah blah apple wake show sense urgency towards customer issue ok folk upto buy sharing experience help thinking buy,very negative
first iphone feeling like wasted money coz heating issue,very negative
big scam received iphone yesterday turned defective piece audio record recording video multiple issue like phone turning even full charge say day replacement clicked amazon say anything contact apple apple say service center slot anything contact amazon torture customer soon make money en expensive phone demand replacement phone right amazon play people hard earned money guy stay away apple day sale,very negative
help see planning buy iphone say yes plan want disclose buy existing iphone x x x max xr user better guy think buy guy le better gadget android user planning buy premium phone suggest please buy iphone instead buying android bet never go back android using io want share month experience iphone battery backup hour used week mind blowing camera best slow motion handy look premium huge money please go pro max display le good worth premium display paying pro max love sound phone ringing front camera awesome must try slow motion selfie provide fast charging,very negative
purchased iphone seller 20th july got delivered 21st july checked phone setting showed warranty expiring 29th march phone already activated march seller repacked sold iphone labelled brand new phone,very negative
5th iphone iphone 3g 3gs 4 used iphone year true keen precision nothing else compete iphone love portrait mode wide angle screen size iphone ring new tone available jio took minute activate esim,neutral
samsung s10 much better iphone,very negative
good charge mobilebody earth today charger working replace,neutral
phone bit big hold good android user per design review phone excellent great camera normal wide angle good sound quality replicate feature awesome copy data old iphone new iphone,neutral
awesome phone great camera quality,neutral
pathetic amazon service buy online back camera problem show many green dot apple store little help amazon expected help waiting get resolved preferred pixel camera sigh,neutral
worst phn bought started heat badly first time switched moreover heat everytime switch tried returning apple denied buy amazon,very negative
android user want move io best iphone get without spending unnecessary huge amount pro version would preferred oled display lcd display iphone bought iphone trust display good phone chipset pro version really much losing regret purchase want start using io everything fluid like lot think moving android future,very negative
phone11 model look like chinese phone suggest purchase go iphone model,neutral
ordered january already three issue bluetooth working phone getting hanged battery back low product defect day purchased bad experience never thaught,very negative
phenomenal word apple finally click india predatory pricing top notch feature make hard let go battery running strong added extra camera plus apple aced one,neutral
helloplease dont take apple product online especially seller appario retail private ltd bought iphone last month suudenly today phone got switched getting switched neither damaged got wet rain furious thought apple product product robust first impression apple product worst becuase online reseller online reseller dont send correct product instead send defective piece old piesces loss r people worst request guy take apple product online mentioned reseller,very negative
5,very negative
fast comparison 12gh ram camera great beyond mp 48mp nothing iphone camera fast far batter comparison android light weight5thankuapple today july phone fallen 1st floor hard surface checking scratchiest great great,neutral
first would like write online shopping platform amazon amazon believe best trusted e commerce brand country speculation scepticism whether buy electronics amazon always answer would go buy product amazon authentic doubt remain anymore well said nothing permanent trust amazon think buying anything apple apple iphone keep good delivery time amidst lockdown wave starting 13th july midnight got morning 13th complaint delivery good product packaging good notification good shopping experience good product well guy know well already one stop shop shopping need amazon way go,very negative
dont go negative review want go iphone compete high end android phone one used oneplus 7t month say comparison photo iphone take way better op 7t battery performing really well daily chore youtube spotify netflix etc last charged phone pm write review got left used iphone 6 used year bought op 7t back io ecosystem feel good also trust transition back liquid retina display 90hz feel bad apple really done good job maintaining crisp vibrant display iphone go guy hater always hate,very negative
