review,sentiment
first oneplus phone made india totally oneplus series even apple phone made china oneplus coming phone oneplus set bar high affordable flagship design refinement borrow element flagship undeniably sleek phone waterfall display edge punch hole front facing camera snapdragon 12gb ram phone high performance despite costing notably le flagship making cheapest 5g phone many market oneplus measure device beyond made oneplus compelling case made flagship phone oneplus performs well leading android device even make iphone sweat little get good battery life least phone faster refresh rate taxing battery display size oneplus 7t measuring inch amoled panel full hd resolution hdr10 compatibility refresh rate 90hz oneplus also brag panel high colour accuracy seen far display definitely bright good sunlight legibility punchy colour also get lot option setting app tweak colour liking phone big screen oneplus take much space least come width x x inch oneplus phone taller iphone galaxy s20 though wide 8mm thickness oneplus also fractionally thinner apple iphone minimal trouble slipping oneplus device pocket ounce lighter iphone though light ounce s20 oneplus come mah battery bigger mah power pack oneplus 7t though large mah battery get paying oneplus pro matter much oneplus delivers superlative battery life bigger tradeoff oneplus owner make least compared oneplus pro concern camera pro model feature four lens oneplus sport three one telephoto lens instead megapixel main shooter f aperture 16mp ultra wide camera joined 2mp macro lens great theory taking detailed object want zoom mercy digital zoom add noise shot yes getting betterand better every update oneplud launching like every week overall would recommend phone obviously yes steal deal price plus get best android experience,neutral
great performance fingerprint quite fast great batter life,neutral
fantastic phone performance excellent curved screen gimmick recommended small hand device tall fingerprint sensor good rear camera good front camera decent,neutral
iphone user basically first time switch android good phone oneplus bt handy phoneproduce heat u play pubgor continusely use houryou touch ur phone heat come highly functionable phone u r one plus lover go one plus otherwise go rating phone unsatisfied,very negative
upgraded oneplus oneplus upgrade worth display fingerprint scanner audio in hand feel everything mind boggling know people commenting camera good want 45k smart phone sony alpha mark3 believe camera superb complains l find con fit perfectly expectation daily usage go better alternative phone price bracket,neutral
camera quality worst good sunlight door image postprocessing mess entire pic loos sharpness problem front rear camera oneplus 5t take much clearer image cant imagine 8th gen phone take inferior pic compared 5th gen phone much lesser hardware spec,very negative
front camera device joke blur hazy disappointed,very negative
really disappointed device understand oneplus focusing quality check got product defective display screen burn shadow in display fingerprint visible amazon agreed return really appreciate amazon service however got product flash sale wait another sale,very negative
good thing oxygen o much brand3rd camera useless bcz company rolled back feature basically camera phone backbelieve touch feature r bitter side u go phone realme x50 pro feature every field oxygen o one plus overall 5stars felt like one time hang little bit maybe due touch issue even update say touch issue solved overall price around 38k know feature helped 45k u would say 90heartz refresh rate realme provide feature 65w dart charger plus 4k le made india,very negative
fan one plus series using one plus 5t since long timewhen received product hope really high started using phone feel bit dissappointed finger touch unlock fast one plus way better case camera expectation fulfilled pic bit animated quality notification light present like one plus 5t light blink get notification light would barely notice little bug front cam setting set aspect ratio differentiating full size little lag observed clicking selfiesadly think paying 45k phone worth,neutral
first oneplus phone made india totally oneplus series even apple phone made china oneplus coming phone oneplus set bar high affordable flagship design refinement borrow element flagship undeniably sleek phone waterfall display edge punch hole front facing camera snapdragon 12gb ram phone high performance despite costing notably le flagship making cheapest 5g phone many market oneplus measure device beyond made oneplus compelling case made flagship phone oneplus performs well leading android device even make iphone sweat little get good battery life least phone faster refresh rate taxing battery display size oneplus 7t measuring inch amoled panel full hd resolution hdr10 compatibility refresh rate 90hz oneplus also brag panel high colour accuracy seen far display definitely bright good sunlight legibility punchy colour also get lot option setting app tweak colour liking phone big screen oneplus take much space least come width x x inch oneplus phone taller iphone galaxy s20 though wide 8mm thickness oneplus also fractionally thinner apple iphone minimal trouble slipping oneplus device pocket ounce lighter iphone though light ounce s20 oneplus come mah battery bigger mah power pack oneplus 7t though large mah battery get paying oneplus pro matter much oneplus delivers superlative battery life bigger tradeoff oneplus owner make least compared oneplus pro concern camera pro model feature four lens oneplus sport three one telephoto lens instead megapixel main shooter f aperture 16mp ultra wide camera joined 2mp macro lens great theory taking detailed object want zoom mercy digital zoom add noise shot yes getting betterand better every update oneplud launching like every week overall would recommend phone obviously yes steal deal price plus get best android experience,neutral
great performance fingerprint quite fast great batter life,neutral
fantastic phone performance excellent curved screen gimmick recommended small hand device tall fingerprint sensor good rear camera good front camera decent,neutral
iphone user basically first time switch android good phone oneplus bt handy phoneproduce heat u play pubgor continusely use houryou touch ur phone heat come highly functionable phone u r one plus lover go one plus otherwise go rating phone unsatisfied,very negative
upgraded oneplus oneplus upgrade worth display fingerprint scanner audio in hand feel everything mind boggling know people commenting camera good want 45k smart phone sony alpha mark3 believe camera superb complains l find con fit perfectly expectation daily usage go better alternative phone price bracket,neutral
camera quality worst good sunlight door image postprocessing mess entire pic loos sharpness problem front rear camera oneplus 5t take much clearer image cant imagine 8th gen phone take inferior pic compared 5th gen phone much lesser hardware spec,very negative
front camera device joke blur hazy disappointed,very negative
really disappointed device understand oneplus focusing quality check got product defective display screen burn shadow in display fingerprint visible amazon agreed return really appreciate amazon service however got product flash sale wait another sale,very negative
good thing oxygen o much brand3rd camera useless bcz company rolled back feature basically camera phone backbelieve touch feature r bitter side u go phone realme x50 pro feature every field oxygen o one plus overall 5stars felt like one time hang little bit maybe due touch issue even update say touch issue solved overall price around 38k know feature helped 45k u would say 90heartz refresh rate realme provide feature 65w dart charger plus 4k le made india,very negative
fan one plus series using one plus 5t since long timewhen received product hope really high started using phone feel bit dissappointed finger touch unlock fast one plus way better case camera expectation fulfilled pic bit animated quality notification light present like one plus 5t light blink get notification light would barely notice little bug front cam setting set aspect ratio differentiating full size little lag observed clicking selfiesadly think paying 45k phone worth,neutral
loyal samsung phone user thought try hand oneplus series bought oneplus highly disappointed ghost touch issue chatting whatsapp messaging app get exit home screen automatically also quality battery poor get discharged 6hours normal use oneplus amazon big brand suggest quality check dispatching product poor management quality lead tarnishing image market,very negative
recommend phone worth money problem faced jio voice stop working suddenly though signal strength show good need restart phone resolve data connectivity consistent mb file upload get restarted several time mi lower end phone location carrier issue battery dry fast phone heates fast,negative
facing display issue next day bought mobile asked replacement product causing problem beginning customer support arranged visit technical person doorstep inspected device showed issue faced assured process replacement case till date mobile replaced hand one helping updating status issue faced hoped customer support would addressed issue proper support satisfied way handled case instead sad customer support expensive commodity pathetic,very negative
extremely well build phone excellent display good operating system still prefer samsung o excellent battery backup still good value money think twice go buy phone,neutral
order detail stated product sold darshita electronics warranty card inside wonder original product warranty still applicable also one plus claim minute however charged minute reached second reason wonder original product,very negative
one best android phone tremendous network speed beast performance best camera quality,positive
oneplus mobile premium looking feeling premium delivery service bad late delivery mobile account amazon prime account one day delivery guaranteed deliver day long time phone awesome unbelievable performance good feature new technology latest 5g technology,very negative
want replace handset new one coz phone working properly screen light flactuating time time get hanged earphone work properly phone restarted work properly day facing problem register request coz got delivered delhi came ranchi amazon accepting written request ranchi fed phone want refund phone,very negative
coming samsung series compare phone called flagship called flagshippros like overall design front design come samsung edge model battery backup good sot approx hour day color reproduction fine compare samsung display con camera rear still fine could better however front camera suck picture quality colour reproduction average charging phone heat level sometimes hold camera bump linear set look odd megapixel camera uselesssoftware though like idea stock android gboard great like samsung tool like select share missing cost cutting wire size even mtrno memory card hybrid slot price earphone even converter online review paid compare s20 oneplus ip rating 2k screen earphone let fool reasonable anymore,very negative
phn recommended earlier thought oneplus great buying one plus thinking made blunder phn getting heated discharged without even using gaming experience also upto mark earlier redmi note pro better,neutral
waste money writing review want buy product camera honestly mobile photography front camera seems like vga bad quality rear camera capture thing wahich steady lill motion photo quality like noob camera finger prit sensor suck lot time recognise face lock work fine good gaming good gyro sometimes misbehaves multi touch sometimes working claw player getting trouble touch multi touch sometimes workingnetwork good getting call telling available caller speedvery good etc etc,very negative
go wrong one screen battery life everything best class last easily day normal usage charging speed insane charge phone n hour phone totally value money 40k price segment hdz refresh rate pleasure phone skip beat playing graphic intense game like pubg oxygen o smooth ever better android skin market one con may noticed camera camera good circumstance may underperforming situation camera bad software update making difference camera department,very negative
little hang n new phone disappointing rest expected n top amazon would give amazon pre book offer cashback complete nonsense disappointed amazon intial order transaction failure say valid first transaction transaction tried second card detail went smoothly feel lik scam amazon lure people offer honor later would b better avoid amazon next time,very negative
switching samsung series oneplus pros1 battery life excellent need power bank type charging speed curved edge display like samsung phone though samsung removed processing speed fast apps open within book eye display good samsung series phone cons1 camera quality much good sound quality better,neutral
dear friend hello video audio switched one plus g mobile phone electricpower passage current shock bottom right hole adjacent charging point iam planning bring notice one plus notice also show theone plus hyderabad authorized service center rectified forced return itback regard truly govardhan rao panchineni,neutral
negative 48mp main camera image processing image dont enough saturation colour look washed easily rectified editing slightly increasing saturation 45k r phone positive everything even including camera mp wide angle camera perfect colour performance crazy easily beat phone without sd also compete iphone superfast charging great battery life best part display 90hz refresh rate love great phone oneplus,neutral
nothing hate phone sometimes heated apart flagship performance better camera ever best ui experience,positive
pro good display slightly curved edge look great feel comfortable gesture navigation display issue unit performance blazing fast3 battery easily last one day average usage4 clean ui year software supportcons expensive compared previous 7t model camera great good snap proper lighting3 feel delicate curved screen buy want use phone years2 want best performance build quality3 camera important you4 want stock ui,neutral
used phone week battery life awesome last day camera quality great oxygen o simply mind blowing aesthetically superior design elegant look go ahead indeed great phone,neutral
used phone nearly day packed request return 1st flagship phone even use smartphone 20k really excited battery avarage even slightly average get smartphone around percent next hour setting like opening account etc become 22percent 40percent hour charge get 78charged remove charged hets much bcoz case fill heat removed case touch back really heated much charging even mi note pro decided return also front camera impressive sometime fingerprint scanner device faild detect plenty time need enter password use face unlocked enter device small issue gmail app getting shut automatically trying add new account really wanted use oneplus smartphone problem like really disappointed think probably people shop online,very negative
oneplus us snapdragon soc support 5gbattery life gaming performance display strong suitsit get ip rating wireless charging like pro modeloneplus design subtle yet distinctivei big fan circular camera bump oneplus 7t glad gone away however miss frosted finish glass back onyx black version oneplus glossy finish pick fingerprint easily also slippery result accidental drop phone lying chair armrest case provided box help display hole punch cutout upper left corner oneplus said goodbye notch think best hole puch smallest seen give oneplus fresh look mentioned first impression oneplus surprisingly comfortable hold given display size also slim heavy black version look fine really looking forward seeing interstellar glow trim first hand feel colour get expect build quality excellent thanks curved edge front back glass sandwiching metal frame button easy reach alert slider handy always usb type c port sim tray main speaker lined bottom overall new simplified design welcome like oneplus trying hard impress phone might look bit boring picture instantly recognisable oneplus device oneplus simple yet distinctive designoneplus display bright vividthe display one important part smartphone oneplus good one inch amoled panel sloping side wide colour gamut hole punch cutout upper left corner oneplus used 3d corning gorilla glass addition pre applied screen protector found latter annoyance anything since finger grazed edge swiping side specification include resolution 2400x1080 pixel hdr10 support 90hz refresh rate software feature like reading mode night mode ability boost colour playing video 90hz refresh rate make usage general feel fluid snappy drop 60hz want save bit battery power hdr content look good oneplus playing compatible show netflix brightness colour saturation automatically get boost go back normal exit app oneplus in display fingerprint sensor super quick authentication take quick firm tap unlock face recognition equally fast work decently well dim lighting enable double tap wake gesture really wanted raise to wake gesture still option ambient display feature offer peek apps sent alert screen along time battery level etc however always on show tap screen pick phone even show name music track played control playback one thing note since hole punch cutout close top edge app need black area create thick black bar noticeable game video apps need hold phone horizontally also black area permanently look odd display one best feature oneplus 8oneplus performance keeping coolwith top end hardware hardly surprising performance oneplus impressive however really caught attention heat much process something could say mi 5g example oneplus ace benchmark antutu got point gfxbench car chase graphic test returned 46fps one tougher scene suite side spot back camera get warm non stop benchmarking never hot speaks lot thermal management design phone,neutral
phone quite slippery use without case display issue e black bar near camera punch finger print reader almost every set visible 99pct regular usage3 oneplus releasing z within month launch oneplus make one wonder launch three together make oneplus8 logical choice many camera avg upto par budget flagship camera let alone samsung s10lite battery avg hr sot gaming netflix social medium something huge ground breaking single charge get thru day moderate usage might need charge min use late night binge watching watching netflix video breath taking experience combined dolby atmos stereo speaker complaint quite impressed,neutral
brand oneplus initially came market came one gutsy move first come first serve limited stock policy sure caught attention many especially phrase flagship killer really eye finally joined oneplus family first time proudly purchasing oneplus oneplus simply filled pro pro pro unrecognisable con pro processor qualcomm snapdragon simply beast always prepared handle face task give flair hardware unlike pro officially ip certified surely geared face shocker surprise anything device ram graphic built weight audio input output haptic feedback button screen camera etc name proudly tick boxes3 software oxygen o one best best android skin market period design usability equal weight management finesse awesome display 1080p full hd fluid amoled 90hz refresh rate brings smile face time seen used audio stereo speaker microphone blow expectation good camera even though camera hardware previous model improved software update give fine picture video experience great detail quality connectivity 5g wifi bluetooth nfc latest version short future ready sensor top notch battery comfortably provide user day worth heavy usage coupled warp charge ready go protection gorilla glass coupled aluminium frame bit water dust resistance give peace mind con pricing flagship killer messing around pricing wireless charging complete personal preference camera 2mp macro camera really make sense 5mm jack great wireless headphone speaker personal preference expandable memory competition heating one bit bummer completely negotiable got excited launch oneplus nord planning pick one grabbed attention future proofing finesse simply speechless willing spend money change mind next year blindly go get beauty beast inside proud joined oneplus family also primary oneplus phone updated logo short stay unique crowd,positive
everything amazing phone phone last day easily single charge normal usage turn 90hz display wow experience hurt battery sure sound amazing charging amazing display amazing camera could little better bad could better best part oxygen o love simplicity yet customisable tweak liking best o mobile short worth buying go,positive
defective item received misplaced punch hole camera microphone working line scrren make india initiative good simultaneously please maintain legacy quality last pathetic service oneplus amazon yhey even picking call,neutral
starting display one thinking buying concerned display issue going review every minute see someone report say concerned right device display issue yes something going pro model cost considering given specification processor camera lightning fast speed definitely consider one performance buttery smooth heating issue lot going battery die start charging device heat mu suggestion thinking buying device consider buying back cover pulling performance camera gcam enough said lol one concern amazon delivery packaging good cosmetic included covering item teared apart,neutral
great performance doubt issue oneplus fix thats are1 screen lock application lock change different different app screen lock2 directly clear cache full system3 sometimes time gap open application form notification switch one another application 2monthi faced many problem listed sometimes apps ate taking longer time open2 able switch another app direct gesture manytime apps browser suddenly hang scroll bottom want go back reopen window sometime problem time taking double tap screen open gesture5 heavy issue location showing wrong two day really disappointed restarted working use app notification arrives click direct notification open app take sec time7 many time problem occurred youtube like another big issue icon menu show white space every day restarted okie day problem occurred main thing music app play local music disappointed10 suddenly go emergency mode time screen turn sec try oneplus launch nord disappointed,very negative
new oneplus phone facing issue unable download anything google playstore whenever press install button app get stuck waiting download way fix u installing google playstore update run factory version want know whether glitch bug would fixed ota update go visit service center upset high hope phone,very negative
great fan oneplus previous segment issue faced within period day feel many issue oneplus like display flickering color changing see pixel nearby fingerprint area battery drainage contacted oneplus say ask amazon necessary contacted amazon said seek help oneplus every day issue becoming worse document sent mail,neutral
fingerprint reader take considerable amount time recognise finger even failed certain case face recognition amazing superbly fast oneplus well battery life drain far charge pretty disappointing tbh camera keep coming back kudos butter smooth operation certainly speed case come box best one opt sandstone one oneplus pretty good well device heat easy look classy hand sleek premium feel definitely worth every penny tions customisation feature available please careful mistake mic aperture sim tray ejection take care coz lie pretty close bottom corner phone sweaty hand donot smudge screen probably great blessing people belonging humid coastal area like overall id say oneplus could done better bench still set pretty high,neutral
recently purchased oneplus expectation regarding brand top notch truly regret buying decision display phone pathetic see clearly blank green tint appearing near finger print sensor actually using light theme le noticeable identify properly changed dark clearly visible fate laughed since return date mailed oneplus response contacted oneplus call centre connect day continuous effort 5th day reached call centre telling wait clear problem regarding hardware searched whether customer issue could see many people reported willing agree quality issue said wait next software update really irritated brand think twice taking brand,very negative
sure whether defective device received manufacturing fault devise start heating even continuous texting min poor battery back up moderate high usage phone battery need charge two time day charger take around hour get charge fast charging adding camara quality feature work mp option whats meaning mp camara time one plus put expectation series special thanks amazon taking product return instead replacement due lack stock availability,very negative
review giving month usage i recommend phone worth money problem faced negative call connecting even signal strength show good need restart phone reset resolve data connectivity inconsistent lower end phone location carrier issue battery dry fast many inbuilt apps missing delete multiple selective message call history basic model delete message take time positive good looking stylish quick charging camera ok display good nothing good mobile thinking performance better iphone lesser basic redmi phone,negative
volta issue one plus many time volta sign vanishes sudden due get call number show switchoff pathetic buy flagship mobile r 45k started creating problem like telling time amazon customer care ready replace phone,very negative
amazing phone completely satisfied first high end phone ever bought regret decision really good battery back great camera amazing screen touch feel display quality 90hz display something look great price quality feature provided look killer back glass panel good used mirror also camera one best segment nightscape photography also good happy battery life also last almost whole day average use phone approximately hour screen time screen finger print good make sure dust particle finger screen work properly face detection fast phone like listen music watch video without earphone stereo speaker going make happy gaming experience phone amazing make sure turn game turbo game center enjoy best gaming experience display quality mesmerizes amoled screen even phone price range offer really make difference visual experience simply great phone price range loved every single day using worth price buy,neutral
purchased phone day back nothing worth phone camera useless90hz display name sakesmoothness zerocolour naturalweight management poori regret,very negative
stunning display understand use touch issue curved display bright display mostly use brightness indoors oneplus pro even brighter compared side side one enough even brightest sun display outshines premium feel comfortable hand despite huge display one feel bad hand though weight balancing well done big display one hand operation easy blazing speed phone get little warm playing graphical intensive game use case directly feel heat warmth surprisingly louder speaker decent camera cleaner oxygen o decent battery life 90hz hz spoiled feeling ipad air straining eye paired oneplus bullet wireless z good experience call music warp charging good phone bullet wireless z ear phone punch hole distract full screen experience much initially waited buy oneplus pro get sale hence settled oneplus bad choice would say enough usage,very negative
smooth every oneplus battery back fantastic use phone day normal usage got much opportunity testing camera outdoors due covid two issue iam noticing network camera phone stop making call side dialer receives switch message dial data keep working attach video whatsapp video playback blurry share improvement happen,very negative
phone phone beast excellent display smooth fast one best market right go review n first time hold phone hand notice something different beast said built quality give premium feel performance flawless sure camera cause honest good enough expert field yeah bet disappoint go,positive
purchase premium quality brand invest much money expect top notch case op8 im quite sure issue op8 dont exist op8 pro must business strategy keep sell op8 pro alive fingerprint sensor average take time world unlock camera pathetic op6 camera performs better back camera panel make photo warm also increase sharpness beyond far front camera good either performance chipset good expect sd865bettery life bad good either disappointed see 50w charger 30w charger become new normal even redmi mid range phone offering 30w box,neutral
phone good charging fast hold good good amount time time touch respond much one plus also provide screen protector like back cover atleast collecting price amazon delivery also good serious issue regarding extra cash back promised buying gift card month also cash back received,neutral
excellent product must say one best phone used far 90hz display awesome feel smooth 4300mah battery life amazing really last long heavy user though great camera setup various option lil disappointed night capture good great product cheer oneplus making excellent one also keeping price point consideration thanks flipkart well excellent speedy delivery,very negative
one doubt curve display always curve display oneplus gave good solution curve fully curve samsung display display half curved n chance accidental touch adult adult hand comfortable display hope help many people like think curve display problem thanks oneplus solve device,neutral
amazing feeling happy,neutral
buy mobile everything else include photography decent gcam game take photo much great battery life one day dual sim charging superbperformance unmatched design premium light weightdisplay greatsound output great finger print scanner work time,neutral
everything ok fast o android sd865 awesome camera good litte dissatisfaction camera provide telephoto lens battery life absolutely awesome oneplus rectify fullscreen problem watch full display prime video best input processor everything beautiful uploaded enfield photo shotted 48mp video good macro lens worthy finally good 30w fast charging good definitely take hour time time finger print issue major problem sometimes finally say buy absolutely stunner fine curve edge look like beast front cam good 5g amazing though india using 4g band width getting much speed compared galaxy a50 flagship killer buy,neutral
product excellent bit overpriced device stunningly fast tge display eyecandy display good watch fullhd hdr content speaker also good dolby audio one bad thing didnt included type c 5mm jack converter there slight issue camera whick gave bright whitish image particular lighting condition im much camera guy felt like camera okay way thing wrong camera picture hope issue fixed ota update,very negative
let tell one thing straight want good camera price paid go 8t sensor get wrong phone struggle white balance color contrast accuracy ofcourse updated via software update considering time release oneplus still get fix bummer pro s1 build quality feel premium display great best though 402ppi decent day notice difference coming samsung higher end device usually ppi sound quality excellent compromise section software thing hold oneplus legacy surprise delivered best battery good range intense usage last hour normal medium usage last hour screen time sd paired adreno run anything intense worry processing speed atleast couple year planning keeping long overall oneplus excellent device looking past camera hope help,neutral
got phone day stay remote area first thing notice unpack slim nice mobile package nice regarding detail atleast first experience generally use iphone superb camera quality top notched feature believe others say camera quality good rather really really good depth recognization portrait ok par iphonescoming battery life good mobile super display considering size quality display battery life gooddisplay accessibility accessing application super easy display simply owesome since lack wireless feature feature oneplus 8pro oneplus feel bit expensiveoverall good mobile go would love,neutral
best camera phone awesome daily multi tasking gaming easily give one day juice use 4g sim plan use dual sim make sure network good area else heavy use get 7hours screen time hour battery wifi bluetooth always,positive
delay haptics type long feel like using 10000rs phone mi a3 time better camera oneplus pro phone fast everything else average samsung s8 screen better one let alone comparing latest samsung flagship overpriced phone reason front cam unusable indoors light evening,very negative
sent defective product asked refund replace refuse either making run around system asking wait day quite frustrating 3rd defective phone sent yes 3rd defective buy online amazon otherwise prepared run people keep saying sorry sir system allow,very negative
posting review using one plus week one plus satisfies standard term processing really fast display quality dolby atmos brilliant highly disappointed camera quality would say camera first priority try option market one plus one plus attracting customer big number like 48mp camera come saturation contrast focus camera really struggle lot,very negative
u get mobile phone working expection return time amazon give return refund policy,neutral
piece owesome n bet using iphone pro masterpiece design really sleek easy handle equally attractive superb processor speed unmatched product range real value money think one want purchase product really referring review really masterpiece,very negative
poor product many issue phone camera bad software working update received touch screen working please purchase waste money please purchase phone profound full value money waste money,
