review,sentiment
defective product shipped reported within hour receipt one showed inspection despite several follow ups replaced refunded horrible experience,very negative
nice phone camera better attractive look,neutral
design goodcamera nicedisplay satisfactorybattery backup up markoverall must phone redmi lover,very negative
headphone jack working despite customer care approved replacement delivery boy listening standing door calling official replacing phone feel much harassed please somebody intervene,very negative
first sell first order mobile nice,very negative
buying must know difference 7k mobile 10k 15k mobile reason choosing title earlier used pro version model reviewing model day usage ear speaker quality outdoor poor keep headphone handy sensor working properly app search option available must patient search required app urgent need swipe mobile choose required app change launcher default launcher capable basic function rest function good,neutral
worst phone ever buy th phone heating issue bottom side touch screen touch button well ghost touch activates within minute use app properly initially thought may due kind virus even company reset issue also see screen flickering easily,neutral
4th mi phone year earlier one good extra battery made phone heavier hence lost charm look like chinese phone earlier one good phone apart brand recommended would love return gift family,neutral
bought older relative needed basic smartphone given pricepoint much expectation redmi 8a unboxing setting admit look behaves like premium phone almost every aspect 8a upgraded 7a fingerprint sensor camera much better expected bit lag opening switching multiple application big deal people basic usage pattern facilitate better grip 8a non glassy back textured overall pleasantly surprised phone given pricepoint target demographic great phone drawback felt xiaomi aggressive bundling custom apps phone deliver lot ad sponsored video default,very negative
mobile good pricebut using hotspot screen recording mobile became overheated hanged switch range mobile really good,very negative
defective product shipped reported within hour receipt one showed inspection despite several follow ups replaced refunded horrible experience,very negative
nice phone camera better attractive look,neutral
design goodcamera nicedisplay satisfactorybattery backup up markoverall must phone redmi lover,very negative
headphone jack working despite customer care approved replacement delivery boy listening standing door calling official replacing phone feel much harassed please somebody intervene,very negative
first sell first order mobile nice,very negative
buying must know difference 7k mobile 10k 15k mobile reason choosing title earlier used pro version model reviewing model day usage ear speaker quality outdoor poor keep headphone handy sensor working properly app search option available must patient search required app urgent need swipe mobile choose required app change launcher default launcher capable basic function rest function good,neutral
worst phone ever buy th phone heating issue bottom side touch screen touch button well ghost touch activates within minute use app properly initially thought may due kind virus even company reset issue also see screen flickering easily,neutral
4th mi phone year earlier one good extra battery made phone heavier hence lost charm look like chinese phone earlier one good phone apart brand recommended would love return gift family,neutral
bought older relative needed basic smartphone given pricepoint much expectation redmi 8a unboxing setting admit look behaves like premium phone almost every aspect 8a upgraded 7a fingerprint sensor camera much better expected bit lag opening switching multiple application big deal people basic usage pattern facilitate better grip 8a non glassy back textured overall pleasantly surprised phone given pricepoint target demographic great phone drawback felt xiaomi aggressive bundling custom apps phone deliver lot ad sponsored video default,very negative
mobile good pricebut using hotspot screen recording mobile became overheated hanged switch range mobile really good,very negative
highly unsatisfied product performance issue phone touch speed well processor slow worth money sound quality also low battery also get drained early though mah mailed return request taken action need return phone want new phone soon possible,negative
phone hang lot processor slow apps close ecen listen yo music continuously,negative
defective display scratch way return service request replacement,neutral
mobile software crupted within month visited mi store lockdown mi store giving warranty service asking money service longtime user mi mobile time hurted mi mobile,very negative
perfect mobile beginner level smartphone 2day battery backup problem processer otherwise issue,very negative
price economicalperformance buttery smoothlags noback camera goodfront camera reasonablescreen quality excellentbuild quality excellentbattery capacity mahfingerprint reader nobody material plasticfeont glass corning gorilla glass 5overall phone lag le performance great work really well best budget smart phone,neutral
camera good quality good light picture awesome battery doubt awesome backup display smooth color look better similar range phone screen tempered compulsory smooth reliable sound goodi bought mom definitely awesome product regular average use see missing provided phone rare product even higher price range,neutral
top smartphone priceexcellence camera great display,neutral
purchased phone feb amazon site may find difficult swipe open display go sleep mode status touch mechanism within month one careful buying cheap quality redmi phone touch mechanism may good quality,very negative
nice design heavy gr8 display size camera quality poor battery capacity excellentgood price feature,negative
phone good finger print reader price disappointingbecause launched price see price,very negative
phone many pro con con speaker sound good sound bluetooth headphone earphone good equalizer used case bluetooth headset earphone gb variant mi apps uninstalled camera ok medium quality,negative
day working mi service center installed software still working,neutral
redmi 8a dual battery smartphone come mah battery average user great o preinstalled o android miui global user interface o volume bug bug constantly cause volume drop zero fix bug system update camera pretty decent camera already many review gonna comment bloatware probably bug android device bunch preinstalled apps game unnecessary remove pathetic ram usage removing bloatwares system take around gb ram gb ram enough user heating issue gamer average find heating issue least time,neutral
purchased redmi 8a received phone defective already registered complain amazon postive response,very negative
wasted money phone phone hang lot function start working automatically iam able restart phone time wait 30mints demand product replacement refund plz,very negative
little sceptical purchasing phone first chinese phone fed mom rough phone usage successfully killed many good brand phone like htc samsung etc wanted something really cheap time paid phone even though old price due lockdown option roam around best part got 3100rs old samsung j4 exchange mess whereas local shopkeeper talking 1k resale value lol le year old phone though still happy buyback price went ahead decided buy phone even though plenty negative review coming phone feel like holding entry level chinese phone great phone lady use phone whatsapp calling problem found far battery excellent colour catchy best part type c slot phone home type c best phone basic user pro lg g7 oneplus etc know premium mean call premium definitely worth try consider life couple year proceed even branded entry level phone die sooner later day say much seems problem update review,very negative
pro cool battery type c charger fast charging corning gorilla glass splashproof wireless fmcons many pre installed unwanted apps would kill internal storage ram space private safe covered second space hide option provided folder whole individual file image without password protection bad processor performance great good presence finger print sensor would great camera bad would feel like mp camera weight heavy due 5k battery,very negative
review seller appario 2nd video defective piece mobile misbehaving suddenly clicking many app without touching screen suddenly opening gmail suddenly opening sm start typing sad,neutral
missing fingerprint sensor nice phone nice design,very negative
bought phone dad pro good battery lifelarge screenlook feel nicecamera good pricecons handset made chinai thought redmi made xiomi fingerprint scanner,neutral
fantastic phone normal user gamer unfortunately received handset defective app like bhim upi show device rooted oparate may app rooted device please make sure device problem yes mark review helpful thak latter,neutral
service good,neutral
con bad camera selfie camera even enough video calling performance mark 3gb ram heating problem extensive usage internet gaming many unnecessary apps cannot removed impacting performance pro good battery life nice display well built budget phone overall budget smartphone le smartness lot notification unable remove many unnecessary apps o,negative
con fingerprint sensor widevine l1 support good camera photo captured blurry unclear totally disappointed camera many mi built apps reduces usable memory hand pro premium quality design feel good hand corning gorilla glass type c port fast charging dedicated memory card slot expandable upto gb super class audio speaker sound good listening music much enjoyable heating charging display bad good phone price range,very negative
purchased 8a dual good product buy many product amazon havent recevied bab product phone camera good get blink opening app phone get swtich video call camera stable request change product refund money asap happy product issue facing month,very negative
receive item charge put charge two hour get put whole night charge next day morning get charge totally disappointed returned item received new mobile opened directly put charge get issue know check properly inspected really upset service,very negative
price segment worst mobile used yet camera average best big issue phone network wifi connection issue phone automatically disconnected wifi connection time network also weak comparing mobile one big issue found today touch working automatically another problem amazon replace phone post phone amazon send new phone third class performance,negative
first would like say best phone good selfie rear camera price fast charging good performance stylish external design best speaker best playing game like freefire pubg etc fingerprint facility earphone available phone prevent device running low space wise lag issue,positive
first good product price good looking smooth camera cheap waste dual camera quality may software issue lack finger print sensorbut face unlock instead pretty good phone little bit bulky may 5000mah battery pack anyway good budget phone,very negative
phone come inch touchscreen display resolution 720x1520 pixel aspect ratio redmi 8a dual run android powered 5000mah battery phone bit heavier though compare one sometimes get heated overall affordable phone reasonable amount money,very negative
excellent mobile use bought father loved start use big battery last longer excellent display vibrant colour presentation nice photo video mark thanks amazon perfect package delivery time company side box screen guard mobile pouch provided,neutral
camera quality acceptable gaming processor fingerprint reader face unlock present box type c charger present correct fit hand give good inhand feel play heavy game excellent display dual 4g support hour charging time,very negative
mobile phone best option user need good battery backup beautiful looking mobile type c charging port charger supplied mobile mah type c charger,negative
battery life good lasted day one charge2 full charge took hour ok mah battery3 mobile little heavier due battery4 phone heat though used continuouslygood buy offered priceimprovement areas1 ai camera fast2 already mi security patch released take gb data update problem wifi user heavy cellular networks3 lot add push notification disable them4 camera quality fair enough price dont expect super trendy clarity5 always notifies update built apps time work though updated,neutral
fast charger given box productthis made india productso buy thisinstant product buy honour 9 mobile latest android feature loaded alsothank,very negative
best budjet smartphone redmiit worth money excellent smartphone thank amazon xioamithe interesting thing get mh battery budjet redmi add fingerprint scanner smartphonebut overall phone good,negative
great phone get high end phone trending customizations miui11 people willing spend fortune device easily upgrade one daily usage beat category love,neutral
placed return still sure return processed amazon customer service closed adapter charger didnt worksoftware failure identified reported next day purchase,neutral
mom using around month look great found issue yet tbh display big like big screen phone go go 3gb ram version since 2gb one slow display sound camera battery quality overall,negative
bought father year old suggested son year old impressed different reason father light weight non slippery hold son speed camera quality sturdiness happy value money overall great deal first time user,neutral
one cheap smartphone according feature battery capacity amazingcamera ok good two thing dislike phone made china mobile adapter also made china second thing 10w charger given box purchase separately sound quality clear lound liked also overall like phone note use invoice warrenty card claim warrentybecause warrenty card separately given inside box request seller give invoice good condition customer received invoice good condition hope help thank,neutral
purchased redmi 8a dual 27th july day return policy day phone switched automatically several trying phone power go redmi authorized service center servicing mobile phone tell phone water damaged due get warranty open mobile front checking worst quality phone ever seen worst quality service center,very negative
good product took service center first changed software started hang requested replacement getting replacement warranty purchased high rating look amazon rating fake,neutral
ordered phone behalf relative confirmed tht battery last hour went mi service centre said tht cannot replace phone bought amazon amazon replace nonsense finally agreed replace battery please careful buying mi phone,very negative
