review,sentiment
update never give chance regret go ahead icon look great set spherlue icon theam look better dark mode even though mah always leaf phone charging go bed turned fast charging option affect batterymonster battery 5two day battery standby normal easy2 display 5super amaload full hd superb display3 design 5it a6000mah battery still looking bulky noglass body care put back cover opinion spend money glass body us back covers4 camera 5back camera pretty good front camera low light output low many feature available slow super slow video available o ui 5android one ui6 finger print reader face lock face lock finger print reader fast7 processor performance 5exynos meant pubg gamers perfect heavy gamer lag ang hang till processor outdated charging fast charging provided 15w charger iy take hr fully reacharge phone9 accessory 5no earphone back cover screenguard order backcover tempered glass placing order backbody plastic amd prone scratch loud speaker 5loudspeaker sound level low verdict price best choice hardcore gamer,neutral
title obviously monsterand good performance,neutral
brilliant camera huge battery life brilliant display addition premium feeling samsung shame phone launch delayed due lockdown highly recommended phone,positive
defective product received get hour charging amazon exchanging product,very negative
writing review using day bought sumsung phone year hoping could good phone samsung disappointed lot claim 6000mah battery drain like 3000mah take almost 30hrs charge fast charging fast charging market gimic clail monester like feature e battery 6000mah 15w fast charge ete reality far far away claim others feature per price range thinking battery packed phone fast charge would sugget plz search others phone range,very negative
poor performance hang aloft even use gaming app browsing phone lack inspite gb ram product serf zero rating please buy wastage money refund policy device,very negative
value money gamer say gaming performance buying normal usage phone great 6gb ram gb internal storage amoled display satisfied using samsung phone start samsung amoled screen attracted feel give simply amazing battery dont seem mah far non gamer concerned phone best price range,very negative
love one best class best budget mobile samsung mobile brand also global brand world great one rating 5star thanks samsung n amazon,positive
nice mobile good,neutral
samsung galaxy m21 good phone price bought r,neutral
update never give chance regret go ahead icon look great set spherlue icon theam look better dark mode even though mah always leaf phone charging go bed turned fast charging option affect batterymonster battery 5two day battery standby normal easy2 display 5super amaload full hd superb display3 design 5it a6000mah battery still looking bulky noglass body care put back cover opinion spend money glass body us back covers4 camera 5back camera pretty good front camera low light output low many feature available slow super slow video available o ui 5android one ui6 finger print reader face lock face lock finger print reader fast7 processor performance 5exynos meant pubg gamers perfect heavy gamer lag ang hang till processor outdated charging fast charging provided 15w charger iy take hr fully reacharge phone9 accessory 5no earphone back cover screenguard order backcover tempered glass placing order backbody plastic amd prone scratch loud speaker 5loudspeaker sound level low verdict price best choice hardcore gamer,neutral
title obviously monsterand good performance,neutral
brilliant camera huge battery life brilliant display addition premium feeling samsung shame phone launch delayed due lockdown highly recommended phone,positive
defective product received get hour charging amazon exchanging product,very negative
writing review using day bought sumsung phone year hoping could good phone samsung disappointed lot claim 6000mah battery drain like 3000mah take almost 30hrs charge fast charging fast charging market gimic clail monester like feature e battery 6000mah 15w fast charge ete reality far far away claim others feature per price range thinking battery packed phone fast charge would sugget plz search others phone range,very negative
poor performance hang aloft even use gaming app browsing phone lack inspite gb ram product serf zero rating please buy wastage money refund policy device,very negative
value money gamer say gaming performance buying normal usage phone great 6gb ram gb internal storage amoled display satisfied using samsung phone start samsung amoled screen attracted feel give simply amazing battery dont seem mah far non gamer concerned phone best price range,very negative
love one best class best budget mobile samsung mobile brand also global brand world great one rating 5star thanks samsung n amazon,positive
nice mobile good,neutral
samsung galaxy m21 good phone price bought r,neutral
even realme performs better issue concerned use were1 recording slow motion video always flicker screen fingerprint sensor need attempt work3 camera better realme good redmi4 battery survives one half day bad till using whatsapp call wonder happen use gaming5 heat charge expected world class company phone6 mobile data connection vanishes many time day thought airtel network sim work old volta phone without issue suggestion people bought phone since company provides screen guard please add screen guard soon possible phone got little scratch kept bike key phone pocket repenting applying screen guard phone early suggestion people bought phone low budget select model otherwise go model samsung brand adding buck attaching two video one normal mode second slow mode video made m21 see flikr effect second video easily,neutral
heating problem simple browising phone get heated upper side asking replacement amazon customer care fooling u pathetic condition,very negative
one word amazing,positive
phone working properly since purchase first installation frequently mode even restarts minute moreover time take hour starting also register complaint amazon regarding need disgusting phone waste day request amazon kindly refund money need replacement,very negative
amazone replaced damaged one phone good enough previous one nonsence nonsence battery come charge full charge u something in10 minute nonsence need replacement people think customer mad,very negative
hr continuously charging level reach call sound quality clear lot heating problem camera quality good network issue slow processing poor performance,very negative
otg pendrive supported,very negative
phone video photo quality audio quality poor,very negative
heating problem,very negative
look like clear unsold stock m30s gave new name advertised totally new phone everything similar m30s except price good thing kept price low got delivered today far good many user compalined battery charging speed display issue m30s hope got resolved m21,very negative
worst phone life ever purchase due pandemic situation blaming china corona virus decided purchase korian company phone broke trust battery life poor show 6000mah performance wise behave like 4000mah bcuz drain quickly processor slow hang minute heat like u make veggie even burn ur ear finger print responding washed hand many time ready recognize finally humble request amazon pls return made big mistake purchase pls help return,very negative
nice looking phone light weight plastic body performance pretty good feel like mah battery probably little shy figure drain relatively quickly expected mah capacity overall product worth price probably good high performance gaming expect durable low medium usage,very negative
samsung co claim samsung m21 fast charging facility mah battery two claim totally bogus purchased samsung m21 received order yesterday using phone plugged charger charging took approximate hour charge mobile phone full charging approximate hour mobile phone battery get reduced totally disappointed phone,very negative
like product look already used someone else apps downloading show appsare downloading confused,very negative
bought raven black 4gb 64gb variant samsung galaxy m21 mother impressed phone overall usability since mother heavy user unlike decided go samsung considering brand value overall spec phone main requirement mom good display medium consumption good battery life clean easy use ui without unnecessary ad since galaxy m21 tick right box decided go phone moreover mother using samsung mobile prior hence accustomed functionality ui display phone brilliant par amoled display redmi k20 pro battery life also good easily give day backup even heavy usage complain length charging cable short performance good day day usage exynos fairly capable seen stutter lag ui ahardcore gamer would recommend look alternative since would perform good competition regard gaming casual gamers job well camera phone brilliant good image processing done samsung take picture natural colour speaker output average loud enough sound produced nothing impressive since lack bass clarity sound output audio output via 5mm jack good support dolby atmos fingerprint sensor fast face unlock feature consistent sometimes fails read face hence overall great value package samsung would highly recommend phone everyone looking good phone price point unless heavy gamer thanks reading update software update june face unlock feature got extremely fast accurate,neutral
samsung m21 mobile delivery box charger pin available need refund mobile better opt cash delivery avoid getting cheated,very negative
writing review one week use samsung galaxy m21 good point amazing samsung one ui samoled displaythe issue faced are1 super slow camera taking sec capture photo mp camera2 heating issue many time normal using observed heating top backside3 poor network antenna using motorola area receiving better signal compared galaxy m21 big battery worst performance battery backup satisfactory little better mah snapdragon soc based phone additionally taking huge amount time charging among issue believe average deal 13k,neutral
amazon delivered defective phone even receive call tried approach buying samsung galaxy m21 waste money,very negative
bought gift dear one shocked see camera quality phone like mb tried mode enhances photo brightness automatically photo becomes like cartoon tried installing camera apps still quality poor tried option returning found option spoke customer care say replace product damaged option quality related issue said ready buy product response better buy local store going behind amazon,very negative
like camera quality screen sensitivity browsing experience speed excellent like sound speaker best sometimes put loud speaker person speaking complain cannot hear plus play music sound best also phone come original earphone hustle lastly take hour charge still battery last 24hours,neutral
realy good phone stil get due covid,very negative
display good battery performance one week use improved camera good hope samsung provides regular update excellent phone keep good work samsung,neutral
strong point force buy phone one ui would say samsung ui best experience ever feel budget phone strongest point youtuber tell ever screen none brand offer quality screen phone budget user first priority screen need see screen metter whatever thing using phone camera daylight shot amazing samsung phone color contrast image processing better redmi note pro realme rs1300 night shot good brand give battery 2hrs pubg regular social medium usage enjoy phone morning 7am evening 12pm charging speed slow took 2hrs min fully charge performance doubt exynos good sd720g heliog90t daily task face lag phone pubg gamer you notice lag high resolution gaming want play without lag obviously play smooth ultra give best performance without issue,very negative
say min recieving phone applied return money phone already phone samsung working good phone made india hot like oven take near ear use ear phone call customer care give different different idea problem remain give advice buy product one careful,very negative
got phone mic issue option put replacement request tried download blanco app doesnt work hanged technical person available check whenever called would place request replacement,very negative
battery drain quickly phone heat lot,very negative
amazing phone satisfied camera quality 48mp used samsung galaxy s8 12mp single camera good m21 tripple camera one thing back panel plastic good looking inthis range feel premium budget,negative
recently ordered samsung m21 6gb ram 128gb flash unboxed started phone surprised see much heated booting tried inform amazon tested remote diagnostics application surprisingly showed temperature degree using samsung phone long time time experience m21 badnew buyer please little careful heating issue,very negative
previously purchased m30s signal strength weak sell phone olx apart signal strength phone awesome used nokia internet superfast using sim card suppose samsung reduces signal strength order reduce sar rating understand sar rating harmful body brain nokia far excellent term signal strength samsung phone excellent term providing good specification budget coming phone camera good touch responsiveness excellent wi fi calling mentioned comparison website 91mobiles neither specification otyer website m21 feature comparison m30s m21 gorilla glass m30s lacksm21 android version compared android m30s m30s upgraded android 11this phone lack nfc present a30s a50sbattery mah nokia phone processor screen size mh battery running duration phone image battery marketing gimmick charging even using type c fast charger take hour full charge battery last one day heavy usage pro super amoled screen6000 mah batterycons signal strength poor since watch internet tv rely hotspot order buffer web series movie etc,very negative
great phone overheating like others say price getting quality phone massive battery life pro good qualityexcellent displayexcellent batterybest camerahere con speaker quality good loud distorted high volume bass allheadphone quality ok best prefer wireless dolby atmoscharging speed ok fast slow took 2hrs fully charge fast 6000mahcamera app need redesignaside best phone 15k go,negative
ph headphone missthis scam,very negative
received samsung yesterday highly disappointed slow charging poor quality camera expect samsung suggest buy mobile,neutral
good product,very negative
phone simply amazing raven black model look gorgeous sturdy camera quality excellent ui user friendly phone similar samsung range phone hard decide model best price according analysis m21 good,negative
cost phone look premium folk like premium looking phone fancy looking phone best price segment product price bracket consist fancy decorated back may cup tea section people simple plain premium monster battery one best display price segment great finger print sensor decent camera etc non gamer go problem faced delay delivery,very negative
expected samsung phone heated badlly heated ideal mode started slowly slowly within minute heated extremely,neutral
got phone 15th may writing review day usage battery backup good good like 6000mah also charging really slow samoled screen best price range processor powerful noticed occasional lag heating issue detected front camera areasit like overheat something hot o good network speed meter function present natively fb app keep refreshing feed minimize open app time sometimes app crash without reason phone heavy heavy easily notice day usage price think phone good atleast good lock native screen recorder present o neither sideload unfair think,neutral
pathetic phone overheating able use worst customer service amazon guy saying blanco app show heating normal diagnosing awful service worst phone,
received samsung galaxy defective start even charge please help initiate return,neutral
mind blowing mobile dear mate go network related issue frequently get bar network point related bar samsung mention community samsung tried nothing please think purchase big disappointment samsung m21 check screenshots outdoors lan area u go upstairs bar extra showing thing checked mobile showing full think issue m21 please release update dissatisfied samsung actually love design camera,very negative
nice rear camera nice selfie camera front camera struggle night sound superb display awesome battery ok fingerprint reader superfast would suggest 6gb variant,neutral
best choose among available choice range using since one week fully impressed feature camera quality battery life excellent fingerprint reader fast elegant design wonderful display user interface also good difficulty faced find app lock split screen purpose fulfilled external apps play store strongly recommend purchasing phone best value money product full satisfied purchase,positive
starting phone facing heating problem bought two phone heating,very negative
using month phone lot impressive feature lack bit punch come processing power usage mostly calling whatsapp video viewing use much social medium apps much gaming well still phone manages freeze even one app running chrome browser summary observed samsung one ui come lot annoying advertisement notification suspect galaxy app hog cpu background privacy huge concern specially discover feature accustomed google news feed swiping right home screen find missing phone phone freeze lot typical workaround lock wait minute unlock work wide angle camera shot really good camera quality nice well battery life great charging every two day instead daily night look finish extra ordinary bad well allow restore google backup start headache setting come samsung switch app would install app cannot restore login data like google restoreverdict buy ok advertisement samsung much heavy usage like gaming etc edit phone freeze issue reduced lot removing external sd card browser freeze sometimes frequency lot lesssamung ui miss user friendly sm call blocking select individual message sender detail block headache improved,very negative
ski charging bad network connection,very negative
buy anybodysamsung take advantage india brand price high feature quality v low,very negative
sir l contact amazon care many time regarding complaint samsung galaxy m21 mobile issue is1 invalid defferent imei number2 different device model sensor responding working properly4 hanging problem phone5 heating problem phone become mobile hotspot setting normal also screen touch slow response,very negative
everyone removing chinese product life hence also planned throw xiaomi gadget start using samsung onwards thought convince friend relative use samsung gadget instead xiaomi purchasing samsung galaxy m21 amazon delivered whole enthusiasm went trash helpless compare last handset redmi valued r compared r samsung galaxy m21 want compare samsung xiaomi handset realize xiaomi captured indian market short span time surely quality performance gadget trying amazon customer care since unable connect response side serious issue found day using samsung galaxy m21 using wi fi calling feature outgoing call receiving sm get completely barred using wi fi hd call get stopped whole battery get drain hour upto mah handset performance fingerprint sensor weak take time login dual apps feature limited application voice recording feature need improvementplease support getting issue resolved earliest,very negative
everything phone great best phone best brand loved nowi enjoying,positive
phone arrived 1st 2days quite good phone worked perfectly 2days started showing sone battery problem battery last upto hr accepted phone getting even worse amazon responding seems like lost thousand money help provided mean alot coz expected kind trust issue amazon,very negative
go detail let admit staunch hater samsung android phone specially low mid range first last samsung phone used galaxy core back absolutely hated promised never buy samsung phone ever ad purchased m21 samsung year year used sony xperia moto g redmi redmi note pro review actually comparison phone beast major advantage phone compared moto g brilliant samoled display full hd resolution processor optimised phone work like breeze stay cool like unlike redmi dont bother fact snapdragon performance usability much optimised shall never complain battery backup perfect two day affair normal usage screen time excellent easily go day even streaming web series talking lot phone call thing bothered finger print sensor feather touch one definitely still work pretty good put finger inlt properly good deal 15k would recommend anyone even blind folded,very negative
samsung galaxy m21 excellent phone price segment pro best display 20k2 great audio quality via headphone jack loud output loud speaker excellent battery life great watching movie support fhd playback ott good performance stutter lag noticed game lag frame drop moderate graphic samsung one ui best next stock android also come android box decent camera quality front back unlike previous series phone one come corning gorilla glass applied screen protection scratch till multitasking best feature phone pop view mode excellent festures help play game listening music youtube apps text message browse web simultaneously large display con plastic back easily get scratched avoided using case could added 18w fast charging capability take 5hours fully charge gamers expect high graphic recommend casual gamers gamers would okay play moderate graphic worst camera quality night mode night mode photo totally unusable conclusion know many complaining poor battery life heating issue game totally unplayable complaint dont spread false information faced issue even heavy useage buy phone want all rounder phone tick every box fyi like phone price segment even samsung push ad initial setup phone ask would opt recommendation opt wont get ad recommendation,very negative
battery charging take much time opted replace much formality amazon highly disappointed purchasing valuable item amazon technician check report amazon decides whether item replaced value customer word bad experience amazon purchase,very negative
believe best smartphone buy price range hardcore gammer compare cheap chinese product,very negative
second review week use far found phone good first review tod battery good feel wrong day almost percentage battery drain one main problem face search button contact placed corner small search contact day open contact searched still remain go way back search,very negative
recieved today battery excellent last day average usage camera good according price mobile expect dslr level clarity good phone running without lag gamer run game network voice clarity excellent faced problem touch id respsonsive would say price segment phone come excellent quality,very negative
one product big battery life large display back camera awesome beautiful colour best thing like samsung user friendly first android samsun new one excited abt using new watta monster battery life 48mp camera,neutral
best phone 14k price buy brand best good thing mah monster battery best display samsung super amoled display watt fast changing decent camera quality one ui brand value service dolby atmos bad thing old processor plastic back little bit thick professional gamer want gift parent go,very negative
use totaly waste money,very negative
cheapest qaulity phone dumped day us buy mobile amazon fooling customer charging issue display issued snapshot attached hanging problem wasetage money pathetic service waiting return pickup last twodays snap shot attached reference guy buy phone,very negative
buy play heavy game tested multitasking worked even better good gaming phone memory management pretty well one thing say amazon deleted last review coz bit amazon hope one deleted everything told phone true,very negative
writing review day use1 really lot network issue ignore point wi fi calling feature working properly3 save new number phone showing contact detail showing app number4 time calling get directly disabled u need restart mobilei playing heavy gaming tell thatbut u want buy mobile heavy call suggestion buybecause frustrated due mobile network issuebattery performance excellenti much money buy another phone adjusting phonei purchase phone year exchange offer missing old phonesamsung launch lot new mobile attract indian customer working bugsrequest samsung broke indian customer trust wise u r company also seat nokia row disappointed writing review professional middle class peopletime pas ke liye college professional house wife ideal people ke liye ye phone best hai,very negative
let straightforward passionate photographer looking budget smartphone nice camera good spec purchasing samsung m21 found monstrous every aspect budget smartphone monstrous battery life amazing camera nice ram management clean one ui ton perk looking monstor budget smartphone reliable reputed trustworthy brand without wasting time go one,neutral
best budget phone really awesome recommend everyone buy mobile le 15k marginbattery excellentfingerprint sensor fastcamera ultimate,very negative
guess problem seller product seller delivered used product load defect camera functioning torch functioning could defect checking item moment delivered encountered two defect upon unboxing found phone tempered glass already fitted initially overlooked later realized someone purchased invested glass defect finally rejecting think m21 product fine upon seller tried strike deal troubled time beware seller,very negative
camera quality much expect rear selfy camera pic quality missed battery life max 18hours used data report 3days usage,negative
nonsense phone battery performance disappointed mah better battery battery losing night morning heating another important issue playing game hard use phone heat high display quality good phone considering battery use charging time high redimi note pro better phone realme nazro performes better dont go phone aware,very negative
hello guy ordered phone almost day get phone hand first phone gorgeous display one major issue need highlight phone serious network issue also shown issue nearest samsung service centre even help guy bad network average network home workplace phone,very negative
galaxy m21 review first similar device galaxy m30s galaxy a50s galaxy a51 term internal tell difference galaxy m30s m21 looking difference two device lot good display main feature phone full hd super amoled display rupee phone rear differentiating feature device include lot feature always true notch hiding battery saving feature on screen fingerprint sensor frankly speaking good thing samsung in screen fingerprint sensor bad really bad bad prefer use fingerprint also swipe gesture notification work time unlike in display fingerprint sensor software software also really good neat feature like system wide dark mode save battery amoled screen clean well thought layout one handed use good great box launcher customizations unlike chinese oem software hex installer good lock absent big bummer customization freak overall nicer ui chinese one one thing also support android stock navigation gesture heck lot better miui battery full day battery comfortably necessary sensor auto brightness vibration disabled box reason samsung think fool mah battery type capacity would provide another phone juice little longer phone camera strange camera default camera app shoot saturated photo video good honestly quite good price day light night phone fall apart easily wide angle camera fixed focus good thing bad thing know use occasionally surprised see ar doodle ar emoji present camera app nice bonus bad desired thingbuilt quality plastic back plastic frame mean plastic phone plastic quirk like despite mah battery feel light relatively thin ergonomic plastic plastic material prone scratched durable glass tap back around camera creates hollow sound built quality par competition performance performance leaf bit desired handle everyday stuff like whatsapp instagram productivity apps quite smoothly game fall flat front competition 4gb variant 2gb memory occupied system already ram management issue device stupid battery optimization killing third party apps background like music app suddenly stop playing song hr disable battery optimization setting app use background time bloat ad microsoft suit preloaded careful set device start select option ad recommendation option even galaxy apps constantly send spammy notification worth use case yes heavy user play heavy game phone heavy user lot better offering online market,very negative
display good sound quality ring volume good important feature like app lock missing phone download third party app encrypt app disappointed ring volume low limited ringtones user interface good even user friendly headphone back cover screen guard dear samsung need research field otherwise eliminated bad experience,very negative
