review,sentiment
phone look gorgeous build design top notch display best class amazing contrast colour brightness visibility sunlight perfect great battery life ultra smooth ui physical size perfect ultra wide lens take great unique shot dynamic range improved previous generation front camera good able match iphone x max pixel bundled akg headfones sound awesome speaker phone loud sound great calling pleasure ultrasonic fingerprint sensor work great sometime miss physical sensor area tiny secure optical indisplay sensor weak point think front camera anyone thinking buying go ahead guy look screen phone exceptional every thing great,neutral
got phone time happy early delivery 1st impression amazing smart switch option convenient transfer content previous galaxy new amazing s10 plus however software updated technical glitch entire screen went black and white screen possible reverse regular setting reset phone factory reset entire process took hour bitter experience hope problem arise sometime software glitch always samsung fan possessed galaxy phone note time experience bit unnerving keeping finger crossed hope amazing experience going forward,neutral
1st day mobile dead service centre reopen phone hang problem slow processing also faced,very negative
first phone samsung apple x phone great compared display quality camera quality also fast fingerprint face recogintion bit slower iphone xi recommend purchase worth single penny,neutral
bought today 9pm 9th march friend mobile shop using hour phone stopped working turning even charging tried reboot friend telling even showing single point screen first samsung phone worked hour worst experience ever,very negative
s10 plus true rounder box ticked screen plus2 design plus3 camera plus4 performance plus5 battery plusoverall samsung galaxy s10 plus great buy great value money second thought first samsung phone happy chose phone first thing screen color bright punchy phone beat actually speaking phone way le iphone x 77k india phone near beast finally would say go full confidence great phone hand,neutral
product pre booked show offer mobile number samsung earbuds,very negative
pre ordered waiting impatiently get delivered finally arrived 8th review based upon approximately day usage display simply awesome first samsung smartphone famed dynamic amoled display disappoint one bit default vibrant setting put great punchy colour image wallpaper video look great undoubtedly one best device content consumption audio complaint sound clean clear supplied akg earbuds added bonus design look deservedly upmarket glass metal body age mental block samsung made flagship galaxy series plastic build last generation anymore positively feel like holding premium product bixby volume rocker key device little play though would great firmer performance smooth hiccup free get little warm time though necessarily heavy task mah battery lasted around day great camera casual photographer ask much better image come great plenty detail accurate colour sharpness capable low light try wide angle lens really useful overall mostly round great experience far hopefully samsung keep updated latest software security update intend hold update finding come across,neutral
product delievery late one day issue thanks amazon nice packing starting screen quality u guy know nobody comoete samsung disolay market apple one plus every reputed company us samsung oled display even though see samsung competition best market even though one plus apple use samsung screen samsung provides phonesp use red colour wallpaper best viewing experience look fingerprint sensor ultrasonic fingerprint sensor 3d map finger rather taking 2d image secure latest uldates fast error u install tempered glass notice lag second battery life people say exynos version bit battery consuming provides le screen time uploaded screenshot battery life hour sot think enough p sot screenshot relative sot mean hiw much time screen hour mean using hour depend user user user get hour usage full charge tempered phone costly get much cover option go blue beautiful white samsung one ui much better oxygen o one ui u use big phone one hand dark mode dope exynos version power battery efficient snapdragon version difference little wont even notice difference option gb variant suck always expand storage get headphone jack c type otg akg earphone want p one plus pro offer listed feature along ufs 90hz refresh rate option gb ram much cheaper price point us samsung oled pannel truly infinity display selfie camera popup camera check bought samsung brand value samsung pure class popup camera look cheap plus get strong feeling sturdiness even seeing pop time,neutral
otp verification work got s10 try register device redeem galaxy bud doesnt give option redeem use number eligible redemtion accepts say eligible bud,neutral
