review,sentiment
even charge phone responding kindly replace immediate basis refund asap,very negative
best phon camera quality good,positive
totally satisfied product good value product amazon delivered time proper packing happy,very negative
nice,neutral
money le,very negative
bad phone please buy price u get better camara,very negative
ok,negative
super good mobilegood,neutral
except camera sound phone good work best gamers hang battery charging time is3hrs u use 2days special gaming mode amazing 6hrs pubg take camera speaker sound dissappointnent,neutral
good thank safe delivery,neutral
even charge phone responding kindly replace immediate basis refund asap,very negative
best phon camera quality good,positive
totally satisfied product good value product amazon delivered time proper packing happy,very negative
nice,neutral
money le,very negative
bad phone please buy price u get better camara,very negative
ok,negative
super good mobilegood,neutral
except camera sound phone good work best gamers hang battery charging time is3hrs u use 2days special gaming mode amazing 6hrs pubg take camera speaker sound dissappointnent,neutral
good thank safe delivery,neutral
disappointed totally camera display watching youtube video pathetic rest feature ok 4gb 64gb 5000mah side finger print saving grace otherwise didnt expect vivo price dont buy spend another 1000rs go many better phone,very negative
day display blank battery heat response service center request replacement really panic put much price cant treat properly product personally requesting dont choose brand dont want see others struggle like worst,very negative
although phone look good inch long heavy making suitable keeping pant pocket,neutral
awesome speed battery backup phone set quickly restore backup within minute overall feature good must buy,very negative
good use vivo brand,very negative
good look good quality product cheap indian getting cheated chinese maker cost effective mobile,neutral
nice product product good camera also nice ordered black colour black blue shine look wonderful,neutral
product expectation colour much eye feast thing satisfied product delivery feature good camera superb clarity,very negative
jdjdudj,very negative
phone return exchange waste money perfomance poor please dont think buy phone amazone also support,very negative
price high mobile slow performance like gb ram poor camera3 network issue every sim card,very negative
bettery discharge fastand camera quality dull,
happy device n ur cooparation deliver bye item source thanks,neutral
vivo20 mobile parchage hdfc credit card emi base emi count full payment emi back return delivered option,neutral
low price good phone,very negative
poor camera quality normal hd display full hd display price high feature low phone,very negative
nice price little bit high obile performance good low camera quality,neutral
chipset mobile worth money poor performence kindly refund replace item,negative
great choice select mobile phone recommend phone everyone,neutral
good phon vivo sirez,neutral
superb mobile good battery life camera,neutral
good nice performance,neutral
goood look phone,neutral
liked activity delivery material,neutral
vivo y20 mobile phone smart fechar looking,very negative
nice mobile display speker satisfied,very negative
good product amazon quick delivered,very negative
satisfied wd product,very negative
good product,very negative
nice phone,neutral
thanks,very negative
product quality good,very negative
camera quality good waste money,very negative
aws camera good,neutral
good picture,neutral
nice phone,neutral
vivo y20 awesome phone,very negative
far nice,very negative
earphone available item,neutral
price worthy product vivo,very negative
handset available box,neutral
accident mobile vivo,very negative
nice product range,very negative
display beautifull,very negative
liked product good,neutral
screen working aate time,neutral
product amazing,positive
nice,neutral
camera mark,neutral
nice performance,neutral
bad,
work,neutral
hand free,very negative
phone good,very negative
nice product,very negative
nice phone,neutral
excellent phone,very negative
nice,neutral
good,neutral
good,neutral
nice,neutral
cool,neutral
good,neutral
rate extra,very negative
enjoy bigger immersive view y20 55cm large display support latest in cell technology display colorful charge easily go leave battery worry behind y20 18w flashcharge technology 000mah battery also support otg reverse charging y20 come qualcomm snapdragon processor 64gb storage handle large scale game ease also support triple card slot expandable 256gb 4d game vibration transport realistic battle field stay immersed thanks pop up window optimization remove distracting alert incoming call help devote full attention victory,neutral
charging fast minam hour time satisfied mobile phone worest mobile y20,negative
selfie camera par 8mp front selfie camera taking good image focus problem blurry image even quality good 8mp low light image nightmare purchased vivo y20 day back image front camera terrible,negative
acch phn h kmr kch khs nh httc bht acch h bttr liph acch h phgr prtt acch nh h k br km nh krt lkn is sgmtt m kpn n acch phn nkl h,very negative
nice battery backup come best ergonomic design 13mp camera need improvement clarity overall phone decent,negative
device charging good reducing lot charging single time satisfied requesting check charging first,neutral
good product camera better better battery good finger better fixture better quality better color dhawn white better charging better front,very negative
nicely phone office use ok better budget family purches 3phone enjoi handle smooth nice product,neutral
thanks new phone worth best camera best fingerprint best display best phone loved,positive
phone good intuitive set recd headset manufacturer give headset phone bad bad,very negative
loved battery life phone nice slim design,neutral
