review,sentiment
price high specification perfect price everything fine,very negative
nokia dont phone still love nokia lover,neutral
reliable phone neat experience zero bloatware even though mp cam quality photo top notch battery keep u day well good software optimization build quality good one 25k price phone perfect everyday use phone,neutral
stock android clean o without bloatware year promised android o security update elegant design super cool compared nokia smooth sturdy holding handset final verdict awesome deal android one lover promised one day delivery appario,neutral
people think phone maybe overpriced say one best phone price buy phone moderate use gaming camera phone really audio quality battary perfect in hand fill great nokia like chiniese brand lote privacy issue give stock android zero bloatware give good experience use nokia give year security update year android update,very negative
nokia cyan 4gb 64gbthings like big display well lit light weight beautiful back gradient design pattern pure android box android august security update camera average major android upgrade usb c headphone jack white notification led power button bloatwares except google apps flip disconnect call pickup silent call gesturesthings liked camera performance low light screen ratio display resolution device battery processor box mobile phone charger usb type c cable earphone mic sim ejector tool document conclusion relief life saver amidst china campaign strictly speaking happy performance phone average user phone great daily use nokia could added extra feature overall beautiful phone price range one expect much go happy note charger made china,neutral
really love design build quality nokia product nokia beautiful android one device hence zero bloatware great camera big screen smooth performance solid build quality one ask,neutral
since would already know kinda average spec impression using phone built feel good plastic back panel feel cheap button tactile notification light placed power button hard notice back panel fine texture feel give extra grip curved edge help holding phone better display resolution right price screen size 720p massive 5inch screen outright pixelation seen 1080p screen would notice text icon sharp enough used 720p phone display would okayish ratio make display quite tall brightness decent stock android experience probably main selling point nokia would clean android o offer additional apps installed phone except basic google apps even choose install google apps like duo google news google play music etc setup may like brand pre install social medium utility apps like voice recorder phone upto date security patch till august sept nice optimization good regular apps like social medium browsing video playback work fine game idea year software update guaranteed part android one programme battery life excellent phone well optimized battery life two day use 4g data always battery lasted well got hr screen on time every battery regular use inclusion fast charging quite disappointing camera tested much gcam seems work better seen review update later confused hardware nfc information gyro sensor though compass say available get clear case headphone box like nokia phone overall want buy stock android based phone cannot wait flash sale nokia good,very negative
using two day say wonderful product designed developed nokia little dissatisfied size phone little bigger size fan nokia since window phone already using plus one latest addition arsenal greatest thing software update android one nokia living upto promise issue nokia phone till date like heating lag zero bloatware pure android experience make wonderful experience enjoy phone basically iphone user earlier using nokia first phone nokia launched android since shifted nokia completely wonderful brand one rely,very negative
ordered waiting phone feel quite overpriced sure phone last year without single issue phone segment,very negative
price high specification perfect price everything fine,very negative
nokia dont phone still love nokia lover,neutral
reliable phone neat experience zero bloatware even though mp cam quality photo top notch battery keep u day well good software optimization build quality good one 25k price phone perfect everyday use phone,neutral
stock android clean o without bloatware year promised android o security update elegant design super cool compared nokia smooth sturdy holding handset final verdict awesome deal android one lover promised one day delivery appario,neutral
people think phone maybe overpriced say one best phone price buy phone moderate use gaming camera phone really audio quality battary perfect in hand fill great nokia like chiniese brand lote privacy issue give stock android zero bloatware give good experience use nokia give year security update year android update,very negative
nokia cyan 4gb 64gbthings like big display well lit light weight beautiful back gradient design pattern pure android box android august security update camera average major android upgrade usb c headphone jack white notification led power button bloatwares except google apps flip disconnect call pickup silent call gesturesthings liked camera performance low light screen ratio display resolution device battery processor box mobile phone charger usb type c cable earphone mic sim ejector tool document conclusion relief life saver amidst china campaign strictly speaking happy performance phone average user phone great daily use nokia could added extra feature overall beautiful phone price range one expect much go happy note charger made china,neutral
really love design build quality nokia product nokia beautiful android one device hence zero bloatware great camera big screen smooth performance solid build quality one ask,neutral
since would already know kinda average spec impression using phone built feel good plastic back panel feel cheap button tactile notification light placed power button hard notice back panel fine texture feel give extra grip curved edge help holding phone better display resolution right price screen size 720p massive 5inch screen outright pixelation seen 1080p screen would notice text icon sharp enough used 720p phone display would okayish ratio make display quite tall brightness decent stock android experience probably main selling point nokia would clean android o offer additional apps installed phone except basic google apps even choose install google apps like duo google news google play music etc setup may like brand pre install social medium utility apps like voice recorder phone upto date security patch till august sept nice optimization good regular apps like social medium browsing video playback work fine game idea year software update guaranteed part android one programme battery life excellent phone well optimized battery life two day use 4g data always battery lasted well got hr screen on time every battery regular use inclusion fast charging quite disappointing camera tested much gcam seems work better seen review update later confused hardware nfc information gyro sensor though compass say available get clear case headphone box like nokia phone overall want buy stock android based phone cannot wait flash sale nokia good,very negative
using two day say wonderful product designed developed nokia little dissatisfied size phone little bigger size fan nokia since window phone already using plus one latest addition arsenal greatest thing software update android one nokia living upto promise issue nokia phone till date like heating lag zero bloatware pure android experience make wonderful experience enjoy phone basically iphone user earlier using nokia first phone nokia launched android since shifted nokia completely wonderful brand one rely,very negative
ordered waiting phone feel quite overpriced sure phone last year without single issue phone segment,very negative
mobile look nice performance bad battery drain 4hour using fb mobile got hand every 1minute heat using multiple aap time per specification cost little high using brand mobile 8k mobile also better pleased return request amazon service poor responding courier service also give product door step wast money go mobile,neutral
bought phone yesterday writing review pro light weight inch screen size2 excellent build quality3 stock android one latest greatest features4 bought gb variance feel multitasking work smoothly5 face unlock finger print unlock work well6 color scheme hd display suffices screen using one plus 6t find le differencecons fast charging unavailable however charging decent2 added gb sd card additionally us portable device onlyi think price point best available phone future promised importantly made india non chinese brand,neutral
using last day average phone high price tagnokia still long way catch market trend mobile price range simple phone special feature term accessibility like taking screen shot launching camera torch dnd mode navigation battery 4000mah last day normal usage feel price around 10k product feature,very negative
nice product price range used day presently found battery backup good run around day depending usage camera quality good light weight audio good shuffling apps smooth easy though gb internal memory get occupied apps update seems require sd card expansion memory long run gaming priority comment work playing game otherwise definitely value money course nokia name say,very negative
finally nokia arrived take chinese product glad came back using phone work thank nokia,neutral
pro smooth software experience multi user support poco f1 could two user one user use personal work good display excellent battery life excellent software update support receive android year security update bloatware light gaming day day video usage butter smooth heating software optimized well qualcomm provides butter smooth experience much better phone 10k 15k con decen camera,positive
fresh using samsung galaxy m30s shifted nokia right bat one bit expensive compare samsung product way expensive go chinese brand spec packing said fail far good slick design good performance pure stock android yr update win4000mah battery last atleast day normal use watching youtube hr discharged battery guess full charge give 10hrs playback fast charging could issue bit heating issue charging exactly buring sensation though camera use much comment one thing bug though display usually keep brightness even dark mode m30s moto g4 face brightness issue first time increase brightness overall good phone look mid range professional looking phone long term use nokia check box others go photo game higher spec may,neutral
instead going chinese brand choose battery really good charging time slow 2hrs full charge camera nice u google gcam awesome stock android bloatware upto 3years u wil get update miss 720p screen look like 1080p screen present redmi phone cz higher nit screen quality really good u want mobile atleast 3years issue u choose mobile,very negative
simple solid device android one refreshing without pre installed nonsense apps device camera work good maybe little underwhelming job android gesture control also intuitive get hang overall respectable non chinese alternative price range,neutral
camera average charging time long maybe due w charger phone getting heated charging notification light working app notification still various setting change,neutral
