review,sentiment
pro clean bloatfree oxygenos run smooth come amoled screen 90hz refresh rate really go along make display average battery life decent last day normal usage sound quality good modestly loud design actually fit hand well shorter usual breadth bit length better viewing experience gaming performance average phone look feel premium using alert slider make convenient switch different mode face unlock fast oneplus phone con camera good expected macro lens pretty useless main camera lack depth color vibrant oneplus bit much beautification selfie shot 4k video recording 60fps absent 60fps performance quite good headphone jack mono speaker bottom right phone tends get covered hand using also one side phone audio well delivered stereo speaker expandable memory slot plastic frame worrying thing make phone comparatively le durable fingerprint scanner screen quick traditional fingerprint scanner back recommendation looking phone delivers high performance smooth interface daily use go prime purpose gaming better option available also expecting flagship camera performance might want consider phone update pixel 4a camera surely much better nord camera,very negative
often leave critical review product excited new oneplus nord got delivered earlier today ahead time still exploring phone one aspect complete let camera pic clicked grainy cool must say oneplus guy really turned time like honestly phone day look feel alike camera one aspect set winner apart ordinary phone dont know guy expected team oneplus poco f1 purchased year back returned time better pic since cant return item going live upgrade sorry negative review,very negative
battery usage update drain faster one plus model one travelling frequently might ideal phone fast charging relief one access charging point morning night usage possible moderate slightly heavy usage bottomline good entry phone never experienced one plus one budget constraint others one plus 8t would ideal bring 120hz refresh rate maybe wireless charging afford dont mind heavy phone one plus pro 8t pro would ideal one still use 7t pro provides best one plus experience initial impression tint issue widely reported smooth given 12gb ram 90hz refresh rate lighter pro model still feel sturdy camera quality par top model one plus device case outdoor picture indoor low light picture good fan punch hole camera would preferred full screen pop instead battery usage need tested seems ok,very negative
yea pre ordered july got august package nice without damage first impression display nice hz refresh rate feel nice smooth camera okay upto mark macro lens depth sensor back crap wide angle okay image smooth without crispness fps video recording 4k rear cam present front cam know premium user experience face unlock in display fingerprint good phone lack true premium feel due plastic frame signature slide button delivers good experience okay feel need 5g chipset future proof definitely go want flagship perfomance go k20 pro oneplus 7t wont good choice heavy user still good experience regard game short run stilli satisfied got updated excellent charging speedbattery backup good daily user last almost day serious heating issue mid range phone expect monster perfomance one best choice daily driver,neutral
heavily disappointed much hype camera even upto mark grainy picture look like applied kind filter selfies way undo haptic feedback good however several bug phone hoping get fixed update also panic nitpick screen quality look great fall marketing gimmick oneplus promised something extraordinary failed also several trouble registering phone red cable club several attempt complaint customer care solved,very negative
got delivered yesterday used hour tell first mid ranger previously using s9 plus s7 edge iphones stone age first one plus mid ranger assure le flagship experience forget bout negative review device perfect one look power performance know useful 5g modem care baggage consider nowcamera unit also awesome perfoms well remember bloat free advt free experience oxygen o con yet discoverenjoy nord,positive
bought phone augmented reality purpose even launched caption world first ar launching nord supporting augmented reality damn fooled one plus totally disappointed long wait rupee wasted prelaunch ar must technology 2020phones even 10k phone giving better support one plus released skull without brain return worthless waste time,very negative
amazing phone got delivered today also received red cable membership unexpected formally one plus comparison one could lot better silicone case came however horrible smell wash using phone camera could little better touch smooth one plus phone fast hell color vibrant notification led earphone jack grey attractive blue better update display issue month time,neutral
front camera bad low light photo also bad need update camera section worst camera also excited product like everyone else going one plus brand u r investing 28k mobile satisfy basic average need least camera quality average rating giving otherwise feature good,very negative
stop cheating customer arranging tempered delivery empty mobile box hard earned money amazon investigation team refuting claim enough evidence prove claim tempered delivery escalate matter highest level also drag amazon india social medium besides suing consumer court,very negative
