review,sentiment
dont buy min gaming phone lagging much,very negative
good phonedecent look look stylishcamera battery quality super goodgood phone range delivery service good,neutral
good phone stopped working time suggest,neutral
product review usage week pro design built quality superb display smoothness view impressivefinger print sensor face unlock working perfect rear camera good considering price ram management multitasking ok without new application consuming gb call quality finecons gaming mobile heating lagging playing high graphic gamebattery 5020mah battery moderate performfor charging take hr per day think mi mentioned advertisement macro camera useless featurefront camera averageui fine consuming rammany pre installed application could able delete finalnormal user go game addict product suitable note requesting replacement 1st mobile due heating issue received 2nd one battery draining issue really disappointed charge twice day suggest please buy brand waste money like,very negative
worst product expected even month ut hang much front camera worst first look good nothing else go redmi note even note much better completely disappointed,very negative
awesome product value money best segment normal usage one best long battery life compared smartphones camera ok pricecharging comparitively slow take half hr get full charged overall best price,negative
mobile phone screen issue completely black wall paper black background permanent white dot screen requested replacement soon device replaced although device preety average ram management good go snapdragon rather mediatek pubg lag sometimes medium setting ton preloaded apps apps cannot uninstall several option market xiaomi choose device wisely,neutral
nice phone smooth performance charge service decent screen quality superb sound ok body vibration issue speaker mode time calling body vibration present notification light overall decent performance price phone support watt fast charge charger support watt,neutral
worst mobile ordered mobile august received 22nd looking mobile display good switched working even though tried charge charging completely dead power mobilei received defect piece try return mobile nobody coming pickup amazon refund option buying mobile amazon worst decision multiple follow ups someone amazon picked phone return updated yet app communication updated amazon called amazon customer service care like woke sleep asked wait hold never came back talk felt strange call disconnected strange behavior amazon regular nd authorized customer amazon since year,very negative
totally impressed built look 13k thought getting realme 6i stock barely last decided get phone phone great smooth gaming experience also good good g90t g85 decent processor great daily life performance 12k budget go 13k realme 6i 14k go poco m2 scarlet red look stunning,negative
dont buy min gaming phone lagging much,very negative
good phonedecent look look stylishcamera battery quality super goodgood phone range delivery service good,neutral
good phone stopped working time suggest,neutral
product review usage week pro design built quality superb display smoothness view impressivefinger print sensor face unlock working perfect rear camera good considering price ram management multitasking ok without new application consuming gb call quality finecons gaming mobile heating lagging playing high graphic gamebattery 5020mah battery moderate performfor charging take hr per day think mi mentioned advertisement macro camera useless featurefront camera averageui fine consuming rammany pre installed application could able delete finalnormal user go game addict product suitable note requesting replacement 1st mobile due heating issue received 2nd one battery draining issue really disappointed charge twice day suggest please buy brand waste money like,very negative
worst product expected even month ut hang much front camera worst first look good nothing else go redmi note even note much better completely disappointed,very negative
awesome product value money best segment normal usage one best long battery life compared smartphones camera ok pricecharging comparitively slow take half hr get full charged overall best price,negative
